text	label
I hate women. 	hateful
I hate trans people. 	hateful
I hate gay people. 	hateful
I hate black people. 	hateful
I hate disabled people. 	hateful
I hate Muslims. 	hateful
I hate immigrants. 	hateful
I really can't stand women like you. 	hateful
I really can't stand trans people like you. 	hateful
I really can't stand gay people like you. 	hateful
I really can't stand black people like you. 	hateful
I really can't stand disabled people like you. 	hateful
I really can't stand Muslims like you. 	hateful
I really can't stand immigrants like you. 	hateful
I despise women. 	hateful
I despise trans people. 	hateful
I despise gay people. 	hateful
I despise black people. 	hateful
I despise disabled people. 	hateful
I despise Muslims. 	hateful
I despise immigrants. 	hateful
I detest women. 	hateful
I detest trans people. 	hateful
I detest gay people. 	hateful
I detest black people. 	hateful
I detest disabled people. 	hateful
I detest Muslims. 	hateful
I detest immigrants. 	hateful
I absolutely loathe women. 	hateful
I absolutely loathe trans people. 	hateful
I absolutely loathe gay people. 	hateful
I absolutely loathe black people. 	hateful
I absolutely loathe disabled people. 	hateful
I absolutely loathe Muslims. 	hateful
I absolutely loathe immigrants. 	hateful
Disgusted by all the women around here. 	hateful
Disgusted by all the trans people around here. 	hateful
Disgusted by all the gay people around here. 	hateful
Disgusted by all the black people around here. 	hateful
Disgusted by all the disabled people around here. 	hateful
Disgusted by all the Muslims around here. 	hateful
Disgusted by all the immigrants around here. 	hateful
I have so much disdain for these women. 	hateful
I have so much disdain for these trans people. 	hateful
I have so much disdain for these gay people. 	hateful
I have so much disdain for these black people. 	hateful
I have so much disdain for these disabled people. 	hateful
I have so much disdain for these Muslims. 	hateful
I have so much disdain for these immigrants. 	hateful
I have so much hatred for you women. 	hateful
I have so much hatred for you trans people. 	hateful
I have so much hatred for you gay people. 	hateful
I have so much hatred for you black people. 	hateful
I have so much hatred for you disabled people. 	hateful
I have so much hatred for you Muslims. 	hateful
I have so much hatred for you immigrants. 	hateful
So sick of being around women like you. 	hateful
So sick of being around trans people like you. 	hateful
So sick of being around gay people like you. 	hateful
So sick of being around black people like you. 	hateful
So sick of being around disabled people like you. 	hateful
So sick of being around Muslims like you. 	hateful
So sick of being around immigrants like you. 	hateful
