feature_group,model_name,fold,accuracy,precision,recall,f1_score
lexical,LogisticRegression,1,0.5,0.0,0.0,0.0
lexical,LogisticRegression,2,0.5,0.5,1.0,0.6666666666666666
lexical,LogisticRegression,3,0.75,0.6666666666666666,1.0,0.8
lexical,LogisticRegression,4,0.5,0.5,0.5,0.5
lexical,LogisticRegression,5,0.75,0.6666666666666666,1.0,0.8
lexical,LinearSVC,1,0.5,0.0,0.0,0.0
lexical,LinearSVC,2,0.75,0.6666666666666666,1.0,0.8
lexical,LinearSVC,3,0.75,0.6666666666666666,1.0,0.8
lexical,LinearSVC,4,0.5,0.5,0.5,0.5
lexical,LinearSVC,5,0.75,0.6666666666666666,1.0,0.8
lexical,RandomForest,1,0.5,0.5,0.5,0.5
lexical,RandomForest,2,0.75,0.6666666666666666,1.0,0.8
lexical,RandomForest,3,0.75,0.6666666666666666,1.0,0.8
lexical,RandomForest,4,0.5,0.5,0.5,0.5
lexical,RandomForest,5,0.25,0.3333333333333333,0.5,0.4
lexical,ComplementNB,1,,,,
lexical,ComplementNB,2,,,,
lexical,ComplementNB,3,,,,
lexical,ComplementNB,4,,,,
lexical,ComplementNB,5,,,,
lexical,XGBoost,1,0.25,0.0,0.0,0.0
lexical,XGBoost,2,0.0,0.0,0.0,0.0
lexical,XGBoost,3,0.25,0.0,0.0,0.0
lexical,XGBoost,4,0.5,0.5,0.5,0.5
lexical,XGBoost,5,0.25,0.3333333333333333,0.5,0.4
lexical,SVC_RBF,1,0.5,0.0,0.0,0.0
lexical,SVC_RBF,2,0.5,0.5,1.0,0.6666666666666666
lexical,SVC_RBF,3,0.5,0.5,1.0,0.6666666666666666
lexical,SVC_RBF,4,0.5,0.5,0.5,0.5
lexical,SVC_RBF,5,0.5,0.5,0.5,0.5
syntactic,CNN_Syntactic_Model,1,0.5,0.5,1.0,0.6666666666666666
syntactic,CNN_Syntactic_Model,2,0.0,0.0,0.0,0.0
syntactic,CNN_Syntactic_Model,3,0.5,0.5,1.0,0.6666666666666666
syntactic,CNN_Syntactic_Model,4,0.5,0.5,1.0,0.6666666666666666
syntactic,CNN_Syntactic_Model,5,0.5,0.0,0.0,0.0
semantic,Dense_Semantic_Model,1,1.0,1.0,1.0,1.0
semantic,Dense_Semantic_Model,2,0.5,0.0,0.0,0.0
semantic,Dense_Semantic_Model,3,0.5,0.5,0.5,0.5
semantic,Dense_Semantic_Model,4,0.25,0.0,0.0,0.0
semantic,Dense_Semantic_Model,5,0.5,0.5,0.5,0.5
tfidf_dense,LogisticRegression,1,0.5,0.0,0.0,0.0
tfidf_dense,LogisticRegression,2,0.5,0.0,0.0,0.0
tfidf_dense,LogisticRegression,3,0.5,0.0,0.0,0.0
tfidf_dense,LogisticRegression,4,0.5,0.0,0.0,0.0
tfidf_dense,LogisticRegression,5,0.5,0.5,1.0,0.6666666666666666
tfidf_dense,LinearSVC,1,0.5,0.0,0.0,0.0
tfidf_dense,LinearSVC,2,0.5,0.0,0.0,0.0
tfidf_dense,LinearSVC,3,0.5,0.0,0.0,0.0
tfidf_dense,LinearSVC,4,0.5,0.0,0.0,0.0
tfidf_dense,LinearSVC,5,0.5,0.5,1.0,0.6666666666666666
tfidf_dense,RandomForest,1,0.5,0.5,1.0,0.6666666666666666
tfidf_dense,RandomForest,2,0.5,0.0,0.0,0.0
tfidf_dense,RandomForest,3,0.25,0.0,0.0,0.0
tfidf_dense,RandomForest,4,0.5,0.0,0.0,0.0
tfidf_dense,RandomForest,5,0.5,0.5,1.0,0.6666666666666666
tfidf_dense,ComplementNB,1,,,,
tfidf_dense,ComplementNB,2,,,,
tfidf_dense,ComplementNB,3,,,,
tfidf_dense,ComplementNB,4,,,,
tfidf_dense,ComplementNB,5,,,,
tfidf_dense,XGBoost,1,0.5,0.0,0.0,0.0
tfidf_dense,XGBoost,2,0.5,0.0,0.0,0.0
tfidf_dense,XGBoost,3,0.5,0.0,0.0,0.0
tfidf_dense,XGBoost,4,0.5,0.0,0.0,0.0
tfidf_dense,XGBoost,5,0.5,0.0,0.0,0.0
