fold,strategy,accuracy,precision,recall,f1_score
1,Early (TFIDF_Dense+Lex+Syn -> SVM),0.7587131367292225,0.7637362637362637,0.7473118279569892,0.7554347826086957
1,Intermediate (Sem+Syn -> BiLSTM),0.9705093833780161,0.9679144385026738,0.9731182795698925,0.9705093833780161
1,Late Fusion (Avg Prob),0.9463806970509383,0.9510869565217391,0.9408602150537635,0.9459459459459459
1,Baseline (TF-IDF Sparse -> SVM),0.5227882037533512,0.5173913043478261,0.6397849462365591,0.5721153846153846
1,Baseline (Semantic -> Dense NN),0.967828418230563,0.9728260869565217,0.9623655913978495,0.9675675675675676
2,Early (TFIDF_Dense+Lex+Syn -> SVM),0.7319034852546917,0.7443181818181818,0.7043010752688172,0.7237569060773481
2,Intermediate (Sem+Syn -> BiLSTM),0.9731903485254692,0.9583333333333334,0.989247311827957,0.9735449735449735
2,Late Fusion (Avg Prob),0.967828418230563,0.967741935483871,0.967741935483871,0.967741935483871
2,Baseline (TF-IDF Sparse -> SVM),0.5067024128686327,0.5059523809523809,0.45698924731182794,0.480225988700565
2,Baseline (Semantic -> Dense NN),0.9705093833780161,0.9679144385026738,0.9731182795698925,0.9705093833780161
3,Early (TFIDF_Dense+Lex+Syn -> SVM),0.6648793565683646,0.7627118644067796,0.48128342245989303,0.5901639344262295
3,Intermediate (Sem+Syn -> BiLSTM),0.9705093833780161,0.9835164835164835,0.9572192513368984,0.9701897018970189
3,Late Fusion (Avg Prob),0.9597855227882037,0.9574468085106383,0.9625668449197861,0.96
3,Baseline (TF-IDF Sparse -> SVM),0.5067024128686327,0.5103448275862069,0.39572192513368987,0.4457831325301205
3,Baseline (Semantic -> Dense NN),0.9705093833780161,0.9680851063829787,0.9732620320855615,0.9706666666666667
4,Early (TFIDF_Dense+Lex+Syn -> SVM),0.7211796246648794,0.7902097902097902,0.6042780748663101,0.6848484848484848
4,Intermediate (Sem+Syn -> BiLSTM),0.9892761394101877,0.9893048128342246,0.9893048128342246,0.9893048128342246
4,Late Fusion (Avg Prob),0.9758713136729222,0.968421052631579,0.983957219251337,0.9761273209549072
4,Baseline (TF-IDF Sparse -> SVM),0.4718498659517426,0.4657534246575342,0.36363636363636365,0.4084084084084084
4,Baseline (Semantic -> Dense NN),0.967828418230563,0.9629629629629629,0.9732620320855615,0.9680851063829787
5,Early (TFIDF_Dense+Lex+Syn -> SVM),0.7365591397849462,0.8098591549295775,0.6182795698924731,0.7012195121951219
5,Intermediate (Sem+Syn -> BiLSTM),0.967741935483871,0.9833333333333333,0.9516129032258065,0.9672131147540983
5,Late Fusion (Avg Prob),0.9704301075268817,0.9679144385026738,0.9731182795698925,0.9705093833780161
5,Baseline (TF-IDF Sparse -> SVM),0.478494623655914,0.4826086956521739,0.5967741935483871,0.5336538461538461
5,Baseline (Semantic -> Dense NN),0.956989247311828,0.9619565217391305,0.9516129032258065,0.9567567567567568
