fold,strategy,accuracy,precision,recall,f1_score
1,Early (TFIDF_Dense+Lex+Syn -> SVM),0.6909871244635193,0.7379679144385026,0.592274678111588,0.6571428571428571
1,Intermediate (Sem+Syn -> BiLSTM),0.9699570815450643,0.9659574468085106,0.9742489270386266,0.9700854700854701
1,Late Fusion (Avg Prob),0.9721030042918455,0.9824561403508771,0.9613733905579399,0.9718004338394793
1,Baseline (TF-IDF Sparse -> SVM),0.5128755364806867,0.5104166666666666,0.630901287553648,0.564299424184261
1,Baseline (Semantic -> Dense NN),0.9635193133047211,0.9655172413793104,0.9613733905579399,0.9634408602150538
2,Early (TFIDF_Dense+Lex+Syn -> SVM),0.7317596566523605,0.7872340425531915,0.6351931330472103,0.7030878859857482
2,Intermediate (Sem+Syn -> BiLSTM),0.9785407725321889,0.9911894273127754,0.9656652360515021,0.9782608695652174
2,Late Fusion (Avg Prob),0.9699570815450643,0.974025974025974,0.9656652360515021,0.9698275862068966
2,Baseline (TF-IDF Sparse -> SVM),0.5257510729613734,0.5218978102189781,0.6137339055793991,0.5641025641025641
2,Baseline (Semantic -> Dense NN),0.9763948497854077,0.9868421052631579,0.9656652360515021,0.9761388286334056
3,Early (TFIDF_Dense+Lex+Syn -> SVM),0.7339055793991416,0.7853403141361257,0.6437768240343348,0.7075471698113207
3,Intermediate (Sem+Syn -> BiLSTM),0.9914163090128756,0.9831223628691983,1.0,0.9914893617021276
3,Late Fusion (Avg Prob),0.9935622317596566,0.9914529914529915,0.9957081545064378,0.9935760171306209
3,Baseline (TF-IDF Sparse -> SVM),0.4978540772532189,0.498371335504886,0.6566523605150214,0.5666666666666667
3,Baseline (Semantic -> Dense NN),0.9871244635193133,0.9829787234042553,0.9914163090128756,0.9871794871794872
4,Early (TFIDF_Dense+Lex+Syn -> SVM),0.6995708154506438,0.7313432835820896,0.630901287553648,0.6774193548387096
4,Intermediate (Sem+Syn -> BiLSTM),0.9678111587982833,0.9823008849557522,0.9527896995708155,0.9673202614379085
4,Late Fusion (Avg Prob),0.9742489270386266,0.9783549783549783,0.9699570815450643,0.9741379310344828
4,Baseline (TF-IDF Sparse -> SVM),0.5321888412017167,0.5278810408921933,0.6094420600858369,0.5657370517928287
4,Baseline (Semantic -> Dense NN),0.9742489270386266,0.986784140969163,0.9613733905579399,0.9739130434782609
5,Early (TFIDF_Dense+Lex+Syn -> SVM),0.6652360515021459,0.7421383647798742,0.5064377682403434,0.6020408163265306
5,Intermediate (Sem+Syn -> BiLSTM),0.9871244635193133,0.9871244635193133,0.9871244635193133,0.9871244635193133
5,Late Fusion (Avg Prob),0.9828326180257511,0.9746835443037974,0.9914163090128756,0.9829787234042553
5,Baseline (TF-IDF Sparse -> SVM),0.5343347639484979,0.5289855072463768,0.6266094420600858,0.5736738703339882
5,Baseline (Semantic -> Dense NN),0.9935622317596566,0.9956896551724138,0.9914163090128756,0.9935483870967742
